,날짜,지역주문건수,확진자수
0,2020-01-28,2.0,
1,2020-01-29,18.0,
2,2020-01-30,46.0,
3,2020-01-31,52.0,
4,2020-02-01,70.0,
5,2020-02-02,71.0,
6,2020-02-03,81.0,
7,2020-02-04,83.0,
8,2020-02-05,84.0,
9,2020-02-06,113.0,
10,2020-02-07,118.0,
11,2020-02-08,119.0,
12,2020-02-09,131.0,
13,2020-02-10,142.0,
14,2020-02-11,144.0,
15,2020-02-12,157.0,
16,2020-02-13,164.0,
17,2020-02-14,166.0,
18,2020-02-15,172.0,
19,2020-02-16,176.0,
20,2020-02-17,208.0,11.0
21,2020-02-18,213.0,11.0
22,2020-02-19,214.0,12.0
23,2020-02-20,221.0,12.0
24,2020-02-21,224.0,14.0
25,2020-02-22,243.0,20.0
26,2020-02-23,258.0,24.0
27,2020-02-24,263.0,35.0
28,2020-02-25,267.0,42.0
29,2020-02-26,289.0,51.0
30,2020-02-27,297.0,62.0
31,2020-02-28,299.0,72.0
32,2020-02-29,307.0,82.0
33,2020-03-01,315.0,89.0
34,2020-03-02,324.0,92.0
35,2020-03-03,342.0,94.0
36,2020-03-04,360.0,101.0
37,2020-03-05,363.0,110.0
38,2020-03-06,392.0,120.0
39,2020-03-07,410.0,130.0
40,2020-03-08,414.0,141.0
41,2020-03-09,527.0,152.0
42,2020-03-10,541.0,163.0
43,2020-03-11,542.0,175.0
44,2020-03-12,548.0,178.0
45,2020-03-13,554.0,185.0
46,2020-03-14,564.0,200.0
47,2020-03-15,581.0,211.0
48,2020-03-16,601.0,231.0
49,2020-03-17,606.0,262.0
50,2020-03-18,612.0,277.0
51,2020-03-19,617.0,295.0
52,2020-03-20,618.0,309.0
53,2020-03-21,643.0,321.0
54,2020-03-22,653.0,337.0
55,2020-03-23,654.0,351.0
56,2020-03-24,658.0,366.0
57,2020-03-25,663.0,387.0
58,2020-03-26,666.0,401.0
59,2020-03-27,669.0,412.0
60,2020-03-28,709.0,433.0
61,2020-03-29,720.0,448.0
62,2020-03-30,737.0,463.0
63,2020-03-31,759.0,476.0
64,2020-04-01,788.0,499.0
65,2020-04-02,789.0,516.0
66,2020-04-03,791.0,539.0
67,2020-04-04,811.0,562.0
68,2020-04-05,812.0,572.0
69,2020-04-06,827.0,580.0
70,2020-04-07,841.0,590.0
71,2020-04-08,844.0,596.0
72,2020-04-09,854.0,606.0
73,2020-04-10,868.0,615.0
74,2020-04-11,871.0,624.0
75,2020-04-12,929.0,628.0
76,2020-04-13,932.0,631.0
77,2020-04-14,933.0,639.0
78,2020-04-15,937.0,645.0
79,2020-04-16,939.0,649.0
80,2020-04-17,945.0,650.0
81,2020-04-18,961.0,654.0
82,2020-04-19,967.0,654.0
83,2020-04-20,969.0,656.0
84,2020-04-21,971.0,658.0
85,2020-04-22,990.0,658.0
86,2020-04-23,1001.0,659.0
87,2020-04-24,1003.0,660.0
88,2020-04-25,1018.0,662.0
89,2020-04-26,1025.0,668.0
90,2020-04-27,1043.0,671.0
91,2020-04-28,1044.0,674.0
92,2020-04-29,1060.0,676.0
93,2020-04-30,1062.0,676.0
94,2020-05-01,1064.0,678.0
95,2020-05-02,1089.0,678.0
96,2020-05-03,1098.0,680.0
97,2020-05-04,,681.0
98,2020-05-05,,681.0
99,2020-05-06,,681.0
100,2020-05-07,,682.0
101,2020-05-08,,684.0
102,2020-05-09,,688.0
103,2020-05-10,,694.0
104,2020-05-11,,698.0
105,2020-05-12,,706.0
106,2020-05-13,,708.0
107,2020-05-14,,714.0
108,2020-05-15,,717.0
109,2020-05-16,,721.0
110,2020-05-17,,721.0
111,2020-05-18,,724.0
112,2020-05-19,,725.0
113,2020-05-20,,735.0
114,2020-05-21,,735.0
115,2020-05-22,,741.0
116,2020-05-23,,754.0
117,2020-05-24,,760.0
118,2020-05-25,,766.0
119,2020-05-26,,768.0
120,2020-05-27,,774.0
121,2020-05-28,,795.0
122,2020-05-29,,815.0
123,2020-05-30,,828.0
124,2020-05-31,,840.0
125,2020-06-01,,852.0
126,2020-06-02,,867.0
127,2020-06-03,,879.0
128,2020-06-04,,894.0
129,2020-06-05,,907.0
130,2020-06-06,,915.0
131,2020-06-07,,934.0
132,2020-06-08,,942.0
133,2020-06-09,,955.0
134,2020-06-10,,976.0
135,2020-06-11,,992.0
136,2020-06-12,,1011.0
137,2020-06-13,,1025.0
138,2020-06-14,,1035.0
139,2020-06-15,,1045.0
140,2020-06-16,,1050.0
141,2020-06-17,,1063.0
142,2020-06-18,,1079.0
143,2020-06-19,,1090.0
144,2020-06-20,,1107.0
145,2020-06-21,,1117.0
146,2020-06-22,,1123.0
147,2020-06-23,,1130.0
148,2020-06-24,,1137.0
149,2020-06-25,,1146.0
150,2020-06-26,,1150.0
151,2020-06-27,,1167.0
152,2020-06-28,,1184.0
153,2020-06-29,,1200.0
154,2020-06-30,,1207.0
155,2020-07-01,,1223.0
156,2020-07-02,,1233.0
157,2020-07-03,,1251.0
158,2020-07-04,,1270.0
159,2020-07-05,,1278.0
160,2020-07-06,,1284.0
161,2020-07-07,,1297.0
162,2020-07-08,,1315.0
163,2020-07-09,,1323.0
164,2020-07-10,,1337.0
165,2020-07-11,,1341.0
166,2020-07-12,,1358.0
167,2020-07-13,,1369.0
168,2020-07-14,,1378.0
169,2020-07-15,,1383.0
170,2020-07-16,,1404.0
171,2020-07-17,,1419.0
172,2020-07-18,,1429.0
173,2020-07-19,,1433.0
174,2020-07-20,,1434.0
175,2020-07-21,,1436.0
176,2020-07-22,,1451.0
177,2020-07-23,,1479.0
178,2020-07-24,,1487.0
179,2020-07-25,,1501.0
180,2020-07-26,,1508.0
181,2020-07-27,,1514.0
182,2020-07-28,,1520.0
183,2020-07-29,,1531.0
184,2020-07-30,,1536.0
185,2020-07-31,,1546.0
186,2020-08-01,,1553.0
187,2020-08-02,,1556.0
188,2020-08-03,,1557.0
189,2020-08-04,,1568.0
190,2020-08-05,,1575.0
191,2020-08-06,,1588.0
192,2020-08-07,,1593.0
193,2020-08-08,,1611.0
194,2020-08-09,,1626.0
195,2020-08-10,,1632.0
196,2020-08-11,,1645.0
197,2020-08-12,,1664.0
198,2020-08-13,,1681.0
199,2020-08-14,,1728.0
200,2020-08-15,,1800.0
201,2020-08-16,,1898.0
202,2020-08-17,,1968.0
203,2020-08-18,,2020.0
204,2020-08-19,,2119.0
205,2020-08-20,,2204.0
206,2020-08-21,,2307.0
207,2020-08-22,,2402.0
208,2020-08-23,,2527.0
209,2020-08-24,,2612.0
210,2020-08-25,,2684.0
211,2020-08-26,,2782.0
212,2020-08-27,,2884.0
213,2020-08-28,,2997.0
214,2020-08-29,,3101.0
215,2020-08-30,,3181.0
216,2020-08-31,,3260.0
217,2020-09-01,,3323.0
218,2020-09-02,,3407.0
219,2020-09-03,,3471.0
220,2020-09-04,,3527.0
221,2020-09-05,,3578.0
222,2020-09-06,,3625.0
223,2020-09-07,,3656.0
224,2020-09-08,,3687.0
225,2020-09-09,,3742.0
226,2020-09-10,,3792.0
227,2020-09-11,,3839.0
228,2020-09-12,,3871.0
229,2020-09-13,,3903.0
230,2020-09-14,,3933.0
231,2020-09-15,,3972.0
232,2020-09-16,,3998.0
233,2020-09-17,,4052.0
234,2020-09-18,,4089.0
235,2020-09-19,,4130.0
236,2020-09-20,,4156.0
237,2020-09-21,,4174.0
238,2020-09-22,,4194.0
239,2020-09-23,,4224.0
240,2020-09-24,,4272.0
241,2020-09-25,,4299.0
242,2020-09-26,,4313.0
243,2020-09-27,,4334.0
244,2020-09-28,,4348.0
245,2020-09-29,,4358.0
246,2020-09-30,,4384.0
247,2020-10-01,,4405.0
248,2020-10-02,,4424.0
249,2020-10-03,,4434.0
250,2020-10-04,,4450.0
251,2020-10-05,,4477.0
252,2020-10-06,,4512.0
253,2020-10-07,,4565.0
254,2020-10-08,,4589.0
255,2020-10-09,,4601.0
256,2020-10-10,,4625.0
257,2020-10-11,,4646.0
258,2020-10-12,,4675.0
259,2020-10-13,,4713.0
260,2020-10-14,,4744.0
261,2020-10-15,,4752.0
262,2020-10-16,,4769.0
263,2020-10-17,,4801.0
264,2020-10-18,,4851.0
265,2020-10-19,,4869.0
266,2020-10-20,,4897.0
267,2020-10-21,,4921.0
268,2020-10-22,,4988.0
269,2020-10-23,,5091.0
270,2020-10-24,,5126.0
271,2020-10-25,,5153.0
272,2020-10-26,,5220.0
273,2020-10-27,,5255.0
274,2020-10-28,,5286.0
275,2020-10-29,,5344.0
276,2020-10-30,,5376.0
277,2020-10-31,,5403.0
278,2020-11-01,,5441.0
279,2020-11-02,,5482.0
280,2020-11-03,,5509.0
281,2020-11-04,,5552.0
282,2020-11-05,,5579.0
283,2020-11-06,,5626.0
284,2020-11-07,,5647.0
285,2020-11-08,,5672.0
286,2020-11-09,,5694.0
287,2020-11-10,,5727.0
288,2020-11-11,,5780.0
289,2020-11-12,,5815.0
290,2020-11-13,,5862.0
291,2020-11-14,,5911.0
292,2020-11-15,,5956.0
293,2020-11-16,,5998.0
294,2020-11-17,,6050.0
295,2020-11-18,,6137.0
296,2020-11-19,,6201.0
297,2020-11-20,,6274.0
298,2020-11-21,,6367.0
299,2020-11-22,,6442.0
300,2020-11-23,,6518.0
301,2020-11-24,,6599.0
302,2020-11-25,,6681.0
303,2020-11-26,,6864.0
304,2020-11-27,,6981.0
305,2020-11-28,,7106.0
306,2020-11-29,,7200.0
307,2020-11-30,,7277.0
308,2020-12-01,,7373.0
309,2020-12-02,,7517.0
310,2020-12-03,,7658.0
311,2020-12-04,,7818.0
312,2020-12-05,,7975.0
313,2020-12-06,,8159.0
314,2020-12-07,,8315.0
315,2020-12-08,,8472.0
316,2020-12-09,,8691.0
317,2020-12-10,,8906.0
318,2020-12-11,,9135.0
319,2020-12-12,,9407.0
320,2020-12-13,,9738.0
321,2020-12-14,,9964.0
322,2020-12-15,,10252.0
323,2020-12-16,,10581.0
324,2020-12-17,,10872.0
325,2020-12-18,,11174.0
326,2020-12-19,,11449.0
327,2020-12-20,,11698.0
328,2020-12-21,,11942.0
329,2020-12-22,,12146.0
330,2020-12-23,,12455.0
331,2020-12-24,,12740.0
332,2020-12-25,,13003.0
333,2020-12-26,,13258.0
334,2020-12-27,,13499.0
335,2020-12-28,,13692.0
336,2020-12-29,,13949.0
337,2020-12-30,,14225.0
338,2020-12-31,,14450.0
339,2021-01-01,,14734.0
340,2021-01-02,,14961.0
