소비일자,소비업종,성별,연령대,소비건수합계
20150629,편의점,여성,50대,77585
20200501,편의점,남성,40대,570937
20190531,주유,여성,50대,93502
20150508,요식/유흥,남성,30대,950842
20200613,교육/학원,여성,20대,14199
20190712,편의점,여성,20대,280285
20200725,백화점/상품권/아울렛,여성,50대,114493
20150522,할인점/마트,여성,30대,489133
20190729,패션/잡화,남성,30대,22290
20200522,미용,남성,20대,23210
20190708,교육/학원,여성,60대이상,6148
20150710,가정생활/서비스,여성,30대,1170
20200503,할인점/마트,여성,40대,590305
20150630,스포츠/문화/레저,여성,50대,43826
20150524,자동차,여성,30대,7190
20190609,가전/가구,여성,20대,8892
20150626,교육/학원,남성,50대,17589
20200613,편의점,여성,40대,274586
20190520,가정생활/서비스,여성,40대,10334
20150515,가전/가구,여성,40대,40967
20200505,가정생활/서비스,남성,60대이상,519
20190516,교육/학원,여성,60대이상,5765
20200516,의료,남성,20대,64417
20150517,패션/잡화,남성,60대이상,9446
20200523,편의점,여성,30대,295054
20190721,스포츠/문화/레저,여성,40대,120129
20190607,백화점/상품권/아울렛,여성,20대,58938
20150518,스포츠/문화/레저,남성,30대,62114
20150603,할인점/마트,남성,60대이상,148976
20150617,요식/유흥,남성,30대,791539
20190522,편의점,남성,60대이상,76788
20190516,할인점/마트,남성,30대,516798
20200712,스포츠/문화/레저,여성,50대,48276
20150731,자동차,여성,20대,4472
20190715,미용,여성,20대,44441
20190715,스포츠/문화/레저,남성,20대,77939
20150719,미용,여성,30대,41629
20150625,주유,여성,30대,69026
20150607,미용,여성,50대,23140
20190718,가정생활/서비스,남성,20대,596
20150705,여행/교통,남성,60대이상,10158
20200727,여행/교통,남성,60대이상,23760
20150715,요식/유흥,남성,40대,763422
20150607,미용,남성,50대,17742
20190729,자동차,남성,20대,14344
20190609,미용,남성,50대,25242
20150507,할인점/마트,남성,60대이상,144992
20150622,가전/가구,여성,20대,10105
20190602,요식/유흥,남성,60대이상,282340
20200728,의료,여성,60대이상,196489
20190728,할인점/마트,여성,20대,134385
20150526,요식/유흥,남성,60대이상,132498
20190714,의료,남성,60대이상,13378
20190604,미용,남성,30대,42623
20200716,여행/교통,남성,30대,45012
20150714,가정생활/서비스,남성,40대,1777
20200723,백화점/상품권/아울렛,남성,40대,52120
20150728,스포츠/문화/레저,여성,20대,41098
20200518,여행/교통,남성,20대,16611
20200620,주유,여성,30대,68779
20200606,자동차,여성,40대,20516
